ISBN,name,one_star_count,two_star_count,three_star_count,four_star_count,five_star_count,average_rating
9786254486227,Neredeyse Sıradan Bir Aile,621,2391,13188,23171,11046,3.83
9786053481904,Son Yüzleşme,168,681,5971,18156,16246,4.20
9786254481086,Mesaj,0,0,0,0,0,0.00
9786053043737,Onlar Ya da Biz,32,170,614,805,637,3.82
9786053047261,Aynalar Ülkesi,411,1118,3223,4022,2357,3.61
9786053042884,Vazgeçilmez Yara Silva,0,0,2,1,0,3.33
9786054377251,Gökmavisi Günahlar,1671,4324,12181,15885,19145,3.87
9786054377862,Keskin Şeyler,15968,49266,220763,440987,383945,4.010
9786054377152,Dönüş :Çöken Karanlık - Vampir Günlükleri 3.Kitap,3665,7098,14289,12610,15707,3.55
9786053043751,Hevesli Ceset,3,23,45,21,15,3.21
9786053758174,Melezler,140,533,2179,3776,2855,3.91
9786052650776,Dünyayı Ardında Bırak,13229,29514,53258,43572,18525,3.16
9786257913546,Cehennem Evi - Karanlık Kitaplık,1731,5041,15043,19048,14912,3.72
9786258327038,Avucumda Soğuk Elin - Karanlık Kitaplık,64,218,675,1166,1183,3.96
9786257737647,Tut ki Bir Rüya Gördün - Karanlık Kitaplık,9,46,305,512,337,3.93
9789754051513,Silahşör - Kara Kule Serisi 1.Kitap,18005,46041,138336,194193,233133,3.92
9789754059830,Kujo,6296,22584,84472,99745,85768,3.79
9786053480747,Anlatmak İçin Yaşa,216,777,6766,19002,16988,4.18
9786254489778,Bayan March,1279,3792,8220,6807,2564,3.25
9786254488177,Bebek,1117,4471,19257,26658,12821,3.71
9786052177495,Göl Yolu'nun Sırrı,40,161,495,426,215,3.46
9786054482801,Harlequin - Ölüm Cezası,0,0,0,0,0,0.00
9786051422060,Günah Pazarı,1208,2774,8290,12039,15080,3.94
9789752124820,Kayıp Zamandaki Kız,436,1064,3839,6522,5321,3.89
9786257550741,Önceki Gece,424,1396,5834,7273,3687,3.67
9786257442244,Paris'te Bir Kurtadam,27,131,419,458,268,3.62
9786257650533,Halka - Karanlık Kitaplık,588,1768,6702,10154,6627,3.79
9786258387292,Son Hasat,30,74,201,212,179,3.63
9786055016265,Kızıl Tepe,391,936,3135,4901,4418,3.87
9786059585828,Roanoke Kızları,985,2647,8707,12952,7765,3.72
9786257913942,Adak Cilt 3 - Hüküm,0,0,0,7,5,4.42
9786053758112,Uğursuz Bir Şey Geliyor Bu Yana,2508,8795,32353,52763,44250,3.91
9786257913959,Adak Cilt 2 - Eski Soy,0,0,1,7,5,4.31
9786054377268,Şeytani Düşler,2256,4783,11507,14196,18385,3.82
9789944485296,Ruh Avcısı,3169,7783,31632,66794,67114,4.060
9786054377879,Ölümcül Dans,0,0,0,0,0,0.00
9786053042921,Floransa Canavarı,625,2462,9896,14066,8185,3.76
9786054228034,Vampir Akademisi - Vampir Akademisi 1.Kitap,18152,33680,112827,190767,304365,4.11
9786054228461,Buz Öpücük - Vampir Akademisi 2.Kitap,4236,10683,52381,116404,178577,4.25
9789752126916,Azrail Koşuyor,1545,7482,36749,52236,41906,3.90
9786258327717,Umacı'nın Peşinde,525,1698,6400,12250,9669,3.94
9786258401035,Meksika Gotiği,9503,35052,112794,148681,83504,3.67
9786053758914,Kafes,3378,8531,35654,78365,71480,4.040
9786059585712,Her Şey Unutulmadı,1133,2720,8746,11974,6700,3.65
9786258021691,Elizabeth Frankenstein'ın Karanlık Düşüşü,311,1171,4906,9505,5971,3.90
9786054377466,Ruh Bağı - Vampir Akademisi 5.Kitap,3797,8295,37230,88346,162347,4.32
9786051424941,Cennet Ateşi Şehri-Ölümcül Oyuncaklar Serisi 6.Kitap,4159,10130,43038,109955,229065,4.39
9786054377008,Gölge Öpücük - Vampir Akademisi 3.Kitap,4459,9709,46444,108377,203227,4.33
9786258387070,Küçük Sırlar,622,2896,21442,70668,64408,4.22
9789752115705,Anahtar Deliğinden Esen Rüzgr,583,2443,15159,34883,34014,4.14
9789751029010,Yabancı Cisim,150,530,1736,1753,1124,3.60
9786257737333,Onu Tanımadan Önce,572,2691,16016,29346,14167,3.86
9786257913850,Malorie Bir Kafes Romanı,315,1597,6723,10489,5911,3.80
9789750748615,Son İnsan,363,964,1965,1750,1110,3.37
9786050974843,Sahte Bellek,1989,7845,39867,106813,105029,4.17
9786258475258,Süt Dişleri,3165,7906,21084,27461,16116,3.60
9786053044369,Geçmiş Günler Bahçesi-Andre Dubus 3,200,596,1619,1849,905,3.52
9789752127982,Ruh Çağıran,0,0,1,1,1,4.00
9786257973663,Sakın Gözlerini Kapama,61,288,1198,1817,960,3.77
9786051739328,Üçten Geriye,1,0,4,0,0,2.60
9786052651483,Güdü-Karanlık Kitaplık,806,2763,11339,21831,14620,3.91
9786052177297,Tek Kelime Etme,274,823,3734,7529,5940,3.99
9786053759041,Carol Gömülmeden,333,931,2034,1857,848,3.33
9786052177310,Bir Skandalın Anatomisi,808,3116,13158,17402,8153,3.68
9786254486968,Lestat,895,1981,5310,7522,8202,3.84
9786059585095,Onu Özgür Bırak,19,63,231,365,346,3.93
9786258401257,Güney Kitap Kulübü'nün Vampir Avlama Rehberi,6654,18422,59308,101546,65147,3.80
9786055016951,Yüzleşme,45,112,350,589,567,3.91
9786258387056,Gerçek Olamayacak Kadar Güzel,414,2017,10798,19908,9586,3.85
9786258387803,Proje,360,1735,5251,5410,2388,3.51
9786258401875,Pandora Odası,41,196,603,468,204,3.40
9786257913874,Bayan Westawayin Ölümü,1990,9941,50595,82809,40019,3.80
9786258327946,Goblin,199,772,1939,1669,832,3.40
9786059585385,Gece Avı,183,681,4830,13513,11883,4.17
9786050981414,Proje: Ölümcül Virüs,231,779,2131,1062,1653,3.60
9786050981377,Aşk Ölümden Uyanıştır,265,835,2457,2522,1878,3.62
9786052064580,İki Sıfır Dört Beş,1,0,0,0,0,1.00
9789751017567,Yargıç,43,142,1283,2526,2129,4.070
9786054629848,Obsesif,1801,4490,18800,38478,33206,4.00
9789754051520,Hayvan Mezarlığı - Gecenin Pençesi,7807,27170,123302,226351,245174,4.070
9789754054293,Oyun,7636,19129,50266,51178,40202,3.58
9786257913386,Kurtulan Kızlar,3019,13192,55843,89065,54131,3.83
9786257737869,Dünya Savaşı Z - Karanlık Kitaplık,12032,30192,102425,187258,208678,4.020
9786059585125,Buzdaki Kız,1583,3864,17623,34700,26753,3.96
9786254140303,Fısıltı Adam,0,0,0,0,0,0.00
9789752119185,Christine,4491,18051,67181,81384,78607,3.85
9786055016944,Nefesini Tut,228,859,4247,7834,5014,3.91
9786052177921,Kız Arkadaş,687,2230,8720,12169,8097,3.78
9789754055856,Medyum,27170,44113,195705,501267,796858,4.28
9786257973724,Erdem Yılı,1913,6715,28285,65937,73060,4.15
